,As of Date,Facility PFI,Facility Name,DOH Region,Facility County,Facility Network,NY Forward Region,Patients Currently Hospitalized,Patients Newly Admitted,Patients Positive After Admission,Patients Discharged,Patients Currently in ICU,Patients Currently ICU Intubated,Patients Expired,Cumulative COVID-19 Discharges to Date,Cumulative COVID-19 Fatalities to Date,Total Staffed Beds,Total Staffed Beds Currently Available,Total Staffed ICU Beds,Total Staffed ICU Beds Currently Available,Patients Age Less Than 1 Year,Patients Age 1 To 4 Years,Patients Age 5 to 19 Years,Patients Age 20 to 44 Years,Patients Age 45 to 54 Years,Patients Age 55 to 64 Years,Patients Age 65 to 74 Years,Patients Age 75 to 84 Years,Patients Age Greater Than 85 Years,Hospitalized Indicator
3503,9/26/2020,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,16.0,5.0,0.0,1.0,6.0,3.0,0.0,539,111,163,134.0,96.0,90.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,2.0,3.0,0
3504,9/26/2020,1165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,5.0,0.0,0.0,0.0,0.0,0.0,0.0,800,286,457,51.0,32.0,23.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0
3505,9/26/2020,1168,MONTEFIORE MEDICAL CENTER - WAKEFIELD HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,001",258,330,85.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3506,9/26/2020,1169,MONTEFIORE MEDICAL CENTER - HENRY AND LUCY MOSES DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,19.0,0.0,1.0,1.0,7.0,3.0,0.0,"2,850",670,818,141.0,85.0,18.0,0.0,0.0,1.0,1.0,5.0,3.0,5.0,2.0,2.0,0
3507,9/26/2020,1172,LINCOLN MEDICAL AND MENTAL HEALTH CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,2.0,1.0,0.0,0.0,0.0,0.0,1.0,624,329,355,39.0,37.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3508,9/26/2020,1176,SBH HEALTH SYSTEM,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,4.0,1.0,0.0,3.0,2.0,2.0,0.0,649,293,300,72.0,38.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0
3509,9/26/2020,1178,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,7.0,0.0,0.0,0.0,2.0,2.0,0.0,"1,225",449,437,97.0,78.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0
3510,9/26/2020,1185,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3511,9/26/2020,1186,NORTH CENTRAL BRONX HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,2.0,1.0,0.0,0.0,0.0,0.0,0.0,495,94,170,69.0,21.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
3512,9/26/2020,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3513,9/26/2020,3058,MONTEFIORE MED CTR - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,3.0,0.0,0.0,1.0,0.0,0.0,0.0,"1,186",406,421,52.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0
3514,9/26/2020,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,4.0,1.0,0.0,1.0,0.0,0.0,0.0,203,86,280,79.0,30.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
3515,9/27/2020,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,8.0,1.0,0.0,2.0,2.0,0.0,0.0,301,95,684,264.0,149.0,77.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0
3516,9/27/2020,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,265,91.0,118.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3517,9/27/2020,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,9.0,0.0,0.0,0.0,1.0,0.0,0.0,233,43,518,57.0,46.0,11.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,0
3518,9/27/2020,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,13,316,49.0,45.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3519,9/27/2020,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,13,241,127.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3520,9/27/2020,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,166,77.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3521,9/27/2020,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,21,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3522,9/27/2020,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,17.0,2.0,0.0,0.0,5.0,3.0,0.0,539,111,163,133.0,96.0,91.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,2.0,0
3523,9/27/2020,1165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,5.0,0.0,0.0,0.0,0.0,0.0,0.0,800,286,457,51.0,32.0,23.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0
3524,9/27/2020,1168,MONTEFIORE MEDICAL CENTER - WAKEFIELD HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,001",258,330,89.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3525,9/27/2020,1169,MONTEFIORE MEDICAL CENTER - HENRY AND LUCY MOSES DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,19.0,0.0,1.0,1.0,6.0,3.0,0.0,"2,851",670,818,152.0,85.0,17.0,0.0,0.0,1.0,1.0,5.0,3.0,5.0,2.0,2.0,0
3526,9/27/2020,1172,LINCOLN MEDICAL AND MENTAL HEALTH CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,624,329,355,26.0,37.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3527,9/27/2020,1176,SBH HEALTH SYSTEM,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,1.0,0.0,0.0,2.0,1.0,1.0,1.0,651,294,300,73.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3528,9/27/2020,1178,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,6.0,0.0,0.0,1.0,2.0,1.0,0.0,"1,226",449,437,80.0,78.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0
3529,9/27/2020,1185,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3530,9/27/2020,1186,NORTH CENTRAL BRONX HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,495,94,170,60.0,21.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
3531,9/27/2020,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3532,9/27/2020,3058,MONTEFIORE MED CTR - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,5.0,0.0,2.0,0.0,0.0,0.0,0.0,"1,186",406,421,45.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0
3533,9/27/2020,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,4.0,0.0,0.0,0.0,0.0,0.0,0.0,203,86,280,91.0,30.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
3534,9/28/2020,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,7.0,0.0,2.0,3.0,3.0,0.0,0.0,304,95,684,248.0,149.0,77.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0
3535,9/28/2020,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,265,111.0,118.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3536,9/28/2020,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,9.0,0.0,0.0,0.0,1.0,0.0,0.0,233,43,518,36.0,46.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,0
3537,9/28/2020,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,13,316,51.0,45.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3538,9/28/2020,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,13,241,96.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3539,9/28/2020,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,166,79.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3540,9/28/2020,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,21,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3541,9/28/2020,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,20.0,1.0,0.0,0.0,5.0,3.0,0.0,539,111,163,131.0,96.0,91.0,0.0,0.0,0.0,4.0,4.0,2.0,4.0,3.0,3.0,0
3542,9/28/2020,1165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,5.0,1.0,0.0,1.0,1.0,0.0,0.0,801,286,457,51.0,32.0,23.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0
3543,9/28/2020,1168,MONTEFIORE MEDICAL CENTER - WAKEFIELD HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,001",258,330,87.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3544,9/28/2020,1169,MONTEFIORE MEDICAL CENTER - HENRY AND LUCY MOSES DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,21.0,1.0,2.0,1.0,6.0,3.0,0.0,"2,852",670,818,125.0,85.0,16.0,0.0,0.0,1.0,2.0,5.0,3.0,6.0,2.0,2.0,0
3545,9/28/2020,1172,LINCOLN MEDICAL AND MENTAL HEALTH CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,624,329,355,21.0,31.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3546,9/28/2020,1176,SBH HEALTH SYSTEM,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,1.0,0.0,0.0,0.0,1.0,1.0,0.0,651,294,300,60.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3547,9/28/2020,1178,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,6.0,0.0,0.0,0.0,3.0,2.0,0.0,"1,226",449,437,73.0,78.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0
3548,9/28/2020,1185,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3549,9/28/2020,1186,NORTH CENTRAL BRONX HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,495,94,170,57.0,21.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
3550,9/28/2020,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3551,9/28/2020,3058,MONTEFIORE MED CTR - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,5.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,186",406,421,55.0,42.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0
3552,9/28/2020,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,3.0,0.0,0.0,0.0,0.0,0.0,0.0,203,86,280,87.0,30.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0
3553,9/29/2020,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,9.0,0.0,2.0,0.0,3.0,0.0,0.0,304,95,684,222.0,149.0,75.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0
3554,9/29/2020,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,265,92.0,118.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3555,9/29/2020,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,9.0,0.0,2.0,3.0,0.0,0.0,0.0,236,43,518,35.0,46.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0
3556,9/29/2020,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,13,316,49.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3557,9/29/2020,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,13,241,90.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3558,9/29/2020,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,166,56.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3559,9/29/2020,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,21,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3560,9/29/2020,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,18.0,1.0,0.0,4.0,5.0,3.0,0.0,543,111,163,131.0,96.0,91.0,0.0,0.0,0.0,1.0,4.0,2.0,5.0,3.0,3.0,0
3561,9/29/2020,1165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,3.0,0.0,0.0,2.0,1.0,0.0,0.0,803,286,457,52.0,32.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
3562,9/29/2020,1168,MONTEFIORE MEDICAL CENTER - WAKEFIELD HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,3.0,0.0,3.0,1.0,0.0,0.0,0.0,"1,002",258,330,78.0,25.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
3563,9/29/2020,1169,MONTEFIORE MEDICAL CENTER - HENRY AND LUCY MOSES DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,22.0,0.0,3.0,2.0,4.0,3.0,0.0,"2,854",670,818,102.0,85.0,17.0,0.0,0.0,2.0,2.0,5.0,4.0,5.0,1.0,3.0,0
3564,9/29/2020,1172,LINCOLN MEDICAL AND MENTAL HEALTH CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,3.0,1.0,0.0,0.0,1.0,0.0,0.0,624,329,355,8.0,31.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3565,9/29/2020,1176,SBH HEALTH SYSTEM,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,2.0,1.0,0.0,0.0,1.0,1.0,0.0,651,294,300,70.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
3566,9/29/2020,1178,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,INDEPENDENT,NEW YORK CITY,4.0,0.0,0.0,2.0,2.0,2.0,0.0,"1,228",449,437,70.0,78.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0
3567,9/29/2020,1185,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3568,9/29/2020,1186,NORTH CENTRAL BRONX HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,495,94,170,68.0,21.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
3569,9/29/2020,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3570,9/29/2020,3058,MONTEFIORE MED CTR - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,METROPOLITAN AREA REGIONAL OFFICE,BRONX,MONTEFIORE HEALTHCARE SYSTEM,NEW YORK CITY,5.0,0.0,1.0,1.0,0.0,0.0,0.0,"1,187",406,421,57.0,42.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0
3571,9/29/2020,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,5.0,0.0,2.0,0.0,1.0,0.0,0.0,203,86,280,74.0,30.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0
3572,9/30/2020,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,8.0,0.0,1.0,1.0,3.0,0.0,0.0,305,95,684,225.0,149.0,73.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0
3573,9/30/2020,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,265,88.0,118.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3574,9/30/2020,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,8.0,0.0,0.0,1.0,0.0,0.0,0.0,237,43,518,18.0,46.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0
3575,9/30/2020,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,13,316,41.0,45.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3576,9/30/2020,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,13,241,68.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3577,9/30/2020,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,166,83.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3578,9/30/2020,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,21,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3579,9/30/2020,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,21.0,3.0,0.0,2.0,7.0,3.0,0.0,545,111,163,123.0,96.0,89.0,0.0,0.0,0.0,2.0,4.0,2.0,7.0,3.0,3.0,0
3580,9/30/2020,1165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE,BRONX,NYC H+H,NEW YORK CITY,3.0,0.0,0.0,0.0,1.0,0.0,0.0,803,286,457,54.0,32.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
